# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	1	space	LINE	absent	8	homo	hetero	NA	NA	present	1510.203182	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	2	space	LINE	absent	16	homo	hetero	NA	NA	present	1843.474344	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	3	space	LINE	present	8	homo	hetero	NA	NA	present	3178.04665602	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	4	space	LINE	present	16	homo	hetero	NA	NA	present	2943.17212398	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	5	space	LINE	present	12	homo	hetero	NA	NA	absent	3631.60938304	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	6	space	LINE	absent	12	homo	hetero	NA	NA	present	2035.17129202	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	7	space	LINE	present	8	homo	hetero	NA	NA	present	1882.09312002	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	8	space	LINE	present	12	homo	hetero	NA	NA	absent	3603.76861901	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	9	space	LINE	absent	16	homo	hetero	NA	NA	present	2103.75279497	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	1	10	space	LINE	absent	12	homo	hetero	NA	NA	present	939.021037018	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	1	time	LINE	present	NA	homo	homo	12	5098.63011522	NA	NA	present	2333.83952599
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	2	time	LINE	present	NA	homo	homo	8	4416.8350863	NA	NA	present	1653.29421801
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	3	time	LINE	present	NA	homo	homo	11	4917.30828924	NA	NA	present	2153.80522999
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	4	time	LINE	absent	NA	homo	homo	-1	NA	NA	NA	absent	4504.02982498
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	5	time	LINE	absent	NA	homo	homo	-1	NA	NA	NA	absent	4504.91134101
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	6	time	LINE	absent	NA	homo	homo	-1	NA	NA	NA	absent	4504.052934
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	7	time	LINE	absent	NA	homo	homo	-1	NA	NA	NA	absent	4520.78663802
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	8	time	LINE	present	NA	homo	homo	6	4083.27459014	NA	NA	present	1487.58245702
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	9	time	LINE	present	NA	homo	homo	9	4583.75187351	NA	NA	present	1820.28313604
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	2	10	time	LINE	present	NA	homo	homo	8	4416.88859374	NA	NA	present	1654.32998998
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	1	space	LINE	present	12	homo	homo	NA	NA	present	1119.79913496	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	2	space	LINE	present	8	homo	homo	NA	NA	present	1096.02177003	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	3	space	LINE	present	16	homo	homo	NA	NA	present	1520.86016	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	4	space	LINE	absent	16	homo	homo	NA	NA	absent	1578.65354099	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	5	space	LINE	absent	12	homo	homo	NA	NA	absent	1259.23573104	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	6	space	LINE	absent	8	homo	homo	NA	NA	absent	1016.985172	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	3	7	space	LINE	absent	16	homo	homo	NA	NA	absent	972.80920099	NA	NA
